Country,Value
Argentina,75.9
Australia,83.3
Austria,81.3
Belgium,81.9
Brazil,74
Bulgaria,71.4
Canada,81.6
Chile,81
China,78.1
Colombia,76.8
Costa Rica,80.8
Croatia,76.7
Czechia,77.2
Denmark,81.5
Estonia,77.2
Finland,81.9
France,82.4
Germany,80.8
Greece,80.2
Hungary,74.3
Iceland,83.2
India,70.2
Indonesia,68.8
Ireland,82.4
Israel,82.6
Italy,82.7
Japan,84.5
Korea,83.6
Latvia,73.1
Lithuania,74.2
Luxembourg,82.7
Mexico,75.4
Netherlands,81.4
New Zealand,82.3
Norway,83.2
Peru,73.7
Poland,75.5
Portugal,81.5
Romania,72.8
Russia, 0
Slovak Republic,74.6
Slovenia,80.7
South Africa,65.3
Spain,83.3
Sweden,83.1
Switzerland,83.9
Turkey,0
United Kingdom,0
United States,76.4
