Country,Value
Argentina,77
Australia,82.9
Austria,82
Belgium,82.1
Brazil,75.1
Bulgaria,75.1
Canada,82.3
Chile,80.6
China,77.7
Colombia,76.6
Costa Rica,80.5
Croatia,78.6
Czechia,79.3
Denmark,81.5
Estonia,79
Finland,82.1
France,83
Germany,81.3
Greece,81.7
Hungary,76.5
Iceland,83.2
India,70.7
Indonesia,70.3
Ireland,82.8
Israel,82.9
Italy,83.6
Japan,84.4
Korea,83.3
Latvia,75.7
Lithuania,76.5
Luxembourg,82.7
Mexico,75.1
Netherlands,82.2
New Zealand,82.1
Norway,83
Peru,76
Poland,78
Portugal,81.9
Romania,75.6
Russia,73.2
Slovak Republic,77.8
Slovenia,81.6
South Africa,65.7
Spain,84
Sweden,83.2
Switzerland,84
Turkey,78.6
United Kingdom,81.4
United States,78.8
